admin2_name,admin2_pcode,admin1_name,admin1_pcode,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,main_first_language,main_first_language_share,main_second_language,main_second_language_share,Ukrainian,Russian,Belarusian,Romanian,Bulgarian,Hungarian,Azeri,Armenian,Georgian,Gagauz,Crimean Tatar,Tatar,Romani,German,Polish,English,French,Other,Ukrainian L1,Russian L1,Belarusian L1,Romanian L1,Azeri L1,Armenian L1,Georgian L1,Bulgarian L1,Gagauz L1,Crimean Tatar L1,Tatar L1,Hungarian L1,Romani L1,Other L1,None L2,Ukrainian L2,Russian L2,Belarussian L2,Romanian L2,Bulgarian L2,German L2,Polish L2,Hungarian L2,English L2,French L2,Other L2,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
#adm2+name,#adm2+code,#adm1+name,#adm1+code,#country+name,#country+code,#indicator+lang+num,#indicator+lang+main,#indicator+lang+main+pct,#indicator+first+lang+main,#indicator+first+lang+main+pct,#indicator+second+lang+main,#indicator+second+lang+main+pct,#indicator+lang+pct+iso639-3_ukr,#indicator+lang+pct+iso639-3_rus,#indicator+lang+pct+iso639-3_bel,#indicator+lang+pct+iso639-3_ron,#indicator+lang+pct+iso639-3_bul,#indicator+lang+pct+iso639-3_hun,#indicator+lang+pct+iso639-3_azj,#indicator+lang+pct+iso639-3_hyw,#indicator+lang+pct+iso639-3_kat,#indicator+ang+pct+iso639-3_gag,#indicator+lang+pct+iso639-3_crh,#indicator+lang+pct+iso639-3_tat,#indicator+lang+pct+iso639-3_ron,#indicator+lang+pct+iso639-3_deu,#indicator+lang+pct+iso639-3_pol,#indicator+lang+pct+iso639-3_eng,#indicator+lang+pct+iso639-3_fra,#indicator+lang+pct+iso639-3_unknown,#indicator+lang+pct+iso639-3_ukr,#indicator+first+lang+pct+iso639-3_rus,#indicator+first+lang+pct+iso639-3_bel,#indicator+first+lang+pct+iso639-3_ron,#indicator+first+lang+pct+iso639-3_azj,#indicator+first+lang+pct+iso639-3_hyw,#indicator+first+lang+pct+iso639-3_kat,#indicator+first+lang+pct+iso639-3_bul,#indicator+first+ang+pct+iso639-3_gag,#indicator+first+lang+pct+iso639-3_crh,#indicator+first+lang+pct+iso639-3_tat,#indicator+first+lang+pct+iso639-3_hun,#indicator+first+lang+pct+iso639-3_ron,#indicator+first+lang+pct+iso639-3_unknown,#indicator+second+lang+pct+none,#indicator+second+lang+pct+iso639-3_ukr,#indicator+second+lang+pct+iso639-3_rus,#indicator+second+lang+pct+iso639-3_bel,#indicator+second+lang+pct+iso639-3_ron,#indicator+second+lang+pct+iso639-3_bul,#indicator+second+lang+pct+iso639-3_deu,#indicator+second+lang+pct+iso639-3_pol,#indicator+second+lang+pct+iso639-3_hun,#indicator+second+lang+pct+iso639-3_eng,#indicator+second+lang+pct+iso639-3_fra,#indicator+second+lang+pct+iso639-3_unknown,#population+total,#population+m+total,#population+f+total,#population+total+pct+literate+age12up,#population+m+pct+literate+age12up,#population+f+pct+literate+age12up,#meta+data+bool,#meta+confidence,#meta+text
Krasnyi Lyman raion,804014039,Donetska oblast,804014,Ukraine,UA,5,Ukrainian,0.941,Ukrainian,0.813,Russian,0.618,0.941,0.802,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.004,0.813,0.183,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.249,0.128,0.618,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,25460,11790,13670,0.992,0.997,0.988,Yes,Medium,
Dokuchaevsk municipality,804014040,Donetska oblast,804014,Ukraine,UA,5,Russian,0.923,Russian,0.731,Ukrainian,0.569,0.837,0.923,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.008,0.000,0.013,0.268,0.731,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.210,0.569,0.192,0.000,0.005,0.000,0.002,0.000,0.000,0.008,0.000,0.012,25360,11760,13600,0.995,0.998,0.992,Yes,Medium,
Oleksandrivka raion,804014041,Donetska oblast,804014,Ukraine,UA,4,Ukrainian,0.978,Ukrainian,0.903,Russian,0.741,0.978,0.836,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.903,0.096,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.183,0.075,0.741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,23030,10840,12190,0.994,1.000,0.989,Yes,Medium,
Kostiantynivka raion,804014042,Donetska oblast,804014,Ukraine,UA,7,Ukrainian,0.915,Ukrainian,0.702,Russian,0.615,0.915,0.904,0.002,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.002,0.000,0.004,0.702,0.290,0.002,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.165,0.213,0.615,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.004,21440,10100,11340,0.987,0.996,0.979,Yes,Medium,
Dobropillia raion,804014043,Donetska oblast,804014,Ukraine,UA,9,Ukrainian,0.968,Ukrainian,0.886,Russian,0.331,0.968,0.435,0.004,0.000,0.001,0.001,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.002,0.886,0.104,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.582,0.082,0.331,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,20810,9770,11040,0.985,0.992,0.978,Yes,Medium,
Zhytomyr city,804018001,Zhytomyrska oblast,804018,Ukraine,UA,9,Ukrainian,0.968,Ukrainian,0.836,Russian,0.561,0.968,0.722,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.008,0.023,0.001,0.004,0.836,0.160,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.264,0.132,0.561,0.001,0.000,0.000,0.006,0.008,0.000,0.023,0.001,0.003,287000,133670,153330,0.998,0.999,0.997,Yes,Medium,
Berdychiv city,804018002,Zhytomyrska oblast,804018,Ukraine,UA,8,Ukrainian,0.976,Ukrainian,0.889,Russian,0.481,0.976,0.588,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.006,0.008,0.000,0.004,0.889,0.107,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.412,0.087,0.481,0.001,0.000,0.000,0.003,0.006,0.000,0.008,0.000,0.003,89120,41700,47420,0.997,0.998,0.995,Yes,Medium,
Zhytomyr raion,804018003,Zhytomyrska oblast,804018,Ukraine,UA,7,Ukrainian,0.983,Ukrainian,0.942,Russian,0.561,0.983,0.615,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.002,0.942,0.054,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.390,0.041,0.561,0.000,0.000,0.000,0.001,0.002,0.000,0.002,0.000,0.002,69120,32350,36770,0.987,0.992,0.983,Yes,Medium,
Ovruch raion,804018004,Zhytomyrska oblast,804018,Ukraine,UA,7,Ukrainian,0.989,Ukrainian,0.959,Russian,0.472,0.989,0.506,0.005,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.000,0.001,0.959,0.034,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.494,0.030,0.472,0.001,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.001,68990,32080,36910,0.979,0.991,0.969,Yes,Medium,
Korosten city,804018005,Zhytomyrska oblast,804018,Ukraine,UA,8,Ukrainian,0.970,Ukrainian,0.869,Russian,0.568,0.970,0.693,0.004,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.003,0.004,0.000,0.005,0.869,0.125,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.316,0.101,0.568,0.002,0.000,0.000,0.003,0.003,0.000,0.004,0.000,0.004,67190,31540,35650,0.998,1.000,0.997,Yes,Medium,
"Brusyliv raion, Radomylshl raion",804018006,Zhytomyrska oblast,804018,Ukraine,UA,5,Ukrainian,0.994,Ukrainian,0.974,Russian,0.366,0.994,0.389,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.003,0.000,0.001,0.974,0.023,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.609,0.020,0.366,0.000,0.000,0.000,0.002,0.000,0.000,0.003,0.000,0.000,60440,27880,32560,0.991,0.998,0.985,Yes,Medium,
Novohrad-Volynskyi city,804018007,Zhytomyrska oblast,804018,Ukraine,UA,11,Ukrainian,0.968,Ukrainian,0.870,Russian,0.510,0.968,0.633,0.002,0.000,0.001,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.001,0.003,0.005,0.006,0.001,0.004,0.870,0.123,0.001,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.376,0.098,0.510,0.001,0.000,0.000,0.003,0.005,0.000,0.006,0.001,0.001,57450,27330,30120,0.997,0.998,0.996,Yes,Medium,
Malyn raion,804018008,Zhytomyrska oblast,804018,Ukraine,UA,8,Ukrainian,0.994,Ukrainian,0.964,Russian,0.477,0.994,0.509,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.005,0.001,0.004,0.964,0.032,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.480,0.029,0.477,0.000,0.000,0.000,0.002,0.001,0.000,0.005,0.001,0.004,53420,25130,28290,0.990,0.996,0.984,Yes,Medium,
Novohrad-Volynskyi raion,804018009,Zhytomyrska oblast,804018,Ukraine,UA,6,Ukrainian,0.998,Ukrainian,0.987,Russian,0.287,0.998,0.299,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.001,0.987,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.698,0.011,0.287,0.000,0.000,0.000,0.001,0.002,0.000,0.001,0.000,0.000,53240,24880,28360,0.985,0.992,0.979,Yes,Medium,
Olevsk raion,804018010,Zhytomyrska oblast,804018,Ukraine,UA,6,Ukrainian,0.996,Ukrainian,0.982,Russian,0.431,0.996,0.444,0.003,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.001,0.982,0.014,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.551,0.014,0.431,0.001,0.000,0.000,0.000,0.001,0.000,0.002,0.000,0.000,47680,22470,25210,0.986,0.993,0.979,Yes,Medium,
"Korosten raion, Narodychi raion",804018011,Zhytomyrska oblast,804018,Ukraine,UA,9,Ukrainian,0.995,Ukrainian,0.972,Russian,0.449,0.995,0.467,0.003,0.005,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.003,0.972,0.018,0.002,0.005,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.521,0.023,0.449,0.001,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.002,46640,21200,25440,0.988,0.997,0.980,Yes,Medium,
Baranivka raion,804018012,Zhytomyrska oblast,804018,Ukraine,UA,6,Ukrainian,0.997,Ukrainian,0.987,Russian,0.437,0.997,0.448,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.010,0.004,0.000,0.002,0.987,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.537,0.010,0.437,0.000,0.000,0.000,0.002,0.010,0.000,0.004,0.000,0.000,46480,21570,24910,0.988,0.990,0.986,Yes,Medium,
Chudniv raion,804018013,Zhytomyrska oblast,804018,Ukraine,UA,8,Ukrainian,0.994,Ukrainian,0.976,Russian,0.461,0.994,0.482,0.001,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.000,0.001,0.976,0.021,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.516,0.018,0.461,0.000,0.000,0.000,0.001,0.001,0.000,0.002,0.000,0.000,44050,20170,23880,0.993,0.997,0.989,Yes,Medium,
Korostyshiv raion,804018014,Zhytomyrska oblast,804018,Ukraine,UA,6,Ukrainian,0.990,Ukrainian,0.949,Russian,0.529,0.990,0.577,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.006,0.000,0.002,0.949,0.048,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.418,0.040,0.529,0.000,0.000,0.000,0.002,0.003,0.000,0.006,0.000,0.001,43630,19710,23920,0.996,0.998,0.995,Yes,Medium,
Yemilchyne raion,804018015,Zhytomyrska oblast,804018,Ukraine,UA,7,Ukrainian,0.995,Ukrainian,0.986,Russian,0.451,0.995,0.465,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.004,0.001,0.000,0.001,0.986,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.530,0.009,0.451,0.002,0.000,0.000,0.002,0.004,0.000,0.001,0.000,0.001,41170,18760,22410,0.983,0.996,0.972,Yes,Medium,
Andrushivka raion,804018016,Zhytomyrska oblast,804018,Ukraine,UA,8,Ukrainian,0.992,Ukrainian,0.978,Russian,0.402,0.992,0.420,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.005,0.000,0.001,0.978,0.018,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.577,0.015,0.402,0.000,0.000,0.000,0.001,0.001,0.000,0.005,0.000,0.000,39640,18260,21380,0.989,0.996,0.983,Yes,Medium,
Volodarsk-Volynskyi raion,804018017,Zhytomyrska oblast,804018,Ukraine,UA,8,Ukrainian,0.991,Ukrainian,0.965,Russian,0.433,0.991,0.465,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.001,0.000,0.002,0.965,0.033,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.533,0.026,0.433,0.001,0.000,0.000,0.001,0.004,0.000,0.001,0.000,0.002,39360,18710,20650,0.987,0.992,0.984,Yes,Medium,
Popilnia raion,804018018,Zhytomyrska oblast,804018,Ukraine,UA,7,Ukrainian,0.995,Ukrainian,0.974,Russian,0.619,0.995,0.640,0.001,0.003,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.974,0.021,0.001,0.003,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.357,0.021,0.619,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,38400,17090,21310,0.989,0.999,0.981,Yes,Medium,
Ruzhyn raion,804018019,Zhytomyrska oblast,804018,Ukraine,UA,6,Ukrainian,0.998,Ukrainian,0.989,Russian,0.478,0.998,0.485,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.002,0.989,0.008,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.510,0.009,0.478,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,34380,15400,18980,0.989,0.997,0.983,Yes,Medium,
Berdychiv raion,804018020,Zhytomyrska oblast,804018,Ukraine,UA,6,Ukrainian,0.996,Ukrainian,0.983,Russian,0.299,0.996,0.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.001,0.000,0.000,0.983,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.684,0.012,0.299,0.000,0.000,0.000,0.001,0.003,0.000,0.001,0.000,0.000,33660,15450,18210,0.989,0.994,0.984,Yes,Medium,
Cherniakhiv raion,804018021,Zhytomyrska oblast,804018,Ukraine,UA,7,Ukrainian,0.999,Ukrainian,0.989,Russian,0.596,0.999,0.606,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.000,0.001,0.989,0.010,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.389,0.010,0.596,0.001,0.000,0.000,0.001,0.001,0.000,0.003,0.000,0.001,33660,15840,17820,0.989,0.994,0.985,Yes,Medium,
Dzerzhinsky raion,804018022,Zhytomyrska oblast,804018,Ukraine,UA,8,Ukrainian,0.998,Ukrainian,0.985,Russian,0.591,0.998,0.603,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.006,0.001,0.000,0.002,0.985,0.012,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.384,0.014,0.591,0.001,0.000,0.000,0.002,0.006,0.000,0.001,0.000,0.002,33330,15440,17890,0.982,0.988,0.976,Yes,Medium,
Liubar raion,804018023,Zhytomyrska oblast,804018,Ukraine,UA,7,Ukrainian,0.997,Ukrainian,0.992,Russian,0.443,0.997,0.450,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.000,0.000,0.992,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.547,0.005,0.443,0.001,0.000,0.000,0.001,0.001,0.000,0.002,0.000,0.000,30790,14520,16270,0.987,0.993,0.982,Yes,Medium,
Chervonoarmiisk raion,804018024,Zhytomyrska oblast,804018,Ukraine,UA,6,Ukrainian,0.998,Ukrainian,0.984,Russian,0.636,0.998,0.651,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.001,0.000,0.000,0.984,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.344,0.015,0.636,0.000,0.000,0.000,0.001,0.003,0.000,0.001,0.000,0.000,26100,12500,13600,0.992,0.997,0.988,Yes,Medium,
Luhyny raion,804018025,Zhytomyrska oblast,804018,Ukraine,UA,3,Ukrainian,0.995,Ukrainian,0.988,Russian,0.378,0.995,0.388,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,0.010,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.615,0.007,0.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21230,10020,11210,0.987,0.996,0.979,Yes,Medium,
Tiachiv raion,804021001,Zakarpatska oblast,804021,Ukraine,UA,6,Ukrainian,0.891,Ukrainian,0.838,Russian,0.225,0.891,0.236,0.000,0.125,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.005,0.838,0.010,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.001,0.706,0.054,0.225,0.000,0.000,0.000,0.001,0.000,0.009,0.001,0.000,0.004,171320,84370,86950,0.988,0.994,0.982,Yes,Medium,
Uzhhorodskyi city,804021002,Zakarpatska oblast,804021,Ukraine,UA,13,Ukrainian,0.979,Ukrainian,0.773,Russian,0.343,0.979,0.470,0.001,0.001,0.001,0.125,0.000,0.001,0.001,0.000,0.000,0.000,0.013,0.010,0.002,0.030,0.004,0.045,0.773,0.127,0.001,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.072,0.013,0.012,0.317,0.206,0.343,0.000,0.000,0.000,0.010,0.002,0.053,0.030,0.004,0.033,117540,55420,62120,0.997,0.997,0.997,Yes,Medium,
Vynohradiv raion,804021003,Zakarpatska oblast,804021,Ukraine,UA,9,Ukrainian,0.873,Ukrainian,0.720,Russian,0.184,0.873,0.195,0.000,0.001,0.000,0.329,0.000,0.000,0.001,0.000,0.000,0.000,0.003,0.001,0.000,0.002,0.001,0.002,0.720,0.011,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.264,0.003,0.000,0.592,0.153,0.184,0.000,0.000,0.000,0.001,0.000,0.065,0.002,0.001,0.002,116030,55740,60290,0.997,0.997,0.996,Yes,Medium,
Mukachevo raion,804021004,Zakarpatska oblast,804021,Ukraine,UA,8,Ukrainian,0.911,Ukrainian,0.840,Russian,0.278,0.911,0.285,0.001,0.001,0.000,0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.000,0.001,0.000,0.011,0.840,0.008,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.142,0.001,0.008,0.630,0.071,0.278,0.000,0.000,0.000,0.004,0.000,0.013,0.001,0.000,0.003,102720,49390,53330,0.997,0.997,0.998,Yes,Medium,
Irshava raion,804021005,Zakarpatska oblast,804021,Ukraine,UA,6,Ukrainian,0.999,Ukrainian,0.989,Russian,0.268,0.999,0.275,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.005,0.989,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.712,0.011,0.268,0.000,0.000,0.000,0.001,0.000,0.003,0.001,0.000,0.005,100470,48490,51980,0.997,0.996,0.997,Yes,Medium,
Khust raion,804021006,Zakarpatska oblast,804021,Ukraine,UA,5,Ukrainian,0.989,Ukrainian,0.953,Russian,0.234,0.989,0.242,0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.953,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.000,0.711,0.037,0.234,0.000,0.000,0.000,0.000,0.000,0.016,0.001,0.001,0.001,96690,47590,49100,0.990,0.994,0.985,Yes,Medium,
Rakhiv raion,804021007,Zakarpatska oblast,804021,Ukraine,UA,8,Ukrainian,0.923,Ukrainian,0.846,Russian,0.164,0.923,0.173,0.000,0.117,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.001,0.004,0.000,0.011,0.846,0.009,0.000,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.004,0.001,0.734,0.077,0.164,0.000,0.000,0.000,0.001,0.001,0.009,0.004,0.000,0.010,90240,43140,47100,0.984,0.992,0.977,Yes,Medium,
Mukachevo city,804021008,Zakarpatska oblast,804021,Ukraine,UA,12,Ukrainian,0.972,Ukrainian,0.778,Russian,0.336,0.972,0.444,0.002,0.001,0.001,0.147,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.011,0.002,0.009,0.001,0.022,0.778,0.108,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.095,0.001,0.014,0.387,0.194,0.336,0.001,0.000,0.000,0.011,0.002,0.052,0.009,0.001,0.008,83700,39960,43740,0.998,0.999,0.997,Yes,Medium,
Uzhhorodskyi raion,804021009,Zakarpatska oblast,804021,Ukraine,UA,10,Ukrainian,0.773,Ukrainian,0.582,Russian,0.321,0.773,0.345,0.001,0.000,0.001,0.404,0.000,0.002,0.000,0.000,0.000,0.000,0.007,0.002,0.001,0.005,0.000,0.024,0.582,0.024,0.001,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.372,0.007,0.011,0.435,0.191,0.321,0.000,0.000,0.000,0.002,0.001,0.032,0.005,0.000,0.013,75090,35640,39450,0.997,0.998,0.997,Yes,Medium,
Svaliava raion,804021010,Zakarpatska oblast,804021,Ukraine,UA,8,Ukrainian,1.034,Ukrainian,0.969,Russian,0.351,1.034,0.371,0.001,0.001,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.003,0.001,0.010,0.969,0.020,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.004,0.546,0.065,0.351,0.000,0.000,0.000,0.004,0.000,0.024,0.003,0.001,0.006,56180,26840,29340,0.994,0.995,0.994,Yes,Medium,
Berehove raion,804021011,Zakarpatska oblast,804021,Ukraine,UA,5,Hungarian,0.849,Hungarian,0.797,Russian,0.265,0.403,0.274,0.000,0.000,0.000,0.849,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.002,0.192,0.009,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.797,0.000,0.000,0.468,0.211,0.265,0.000,0.000,0.000,0.000,0.000,0.052,0.002,0.000,0.001,53040,24950,28090,0.997,0.998,0.997,Yes,Medium,
Mizhhirya raion,804021012,Zakarpatska oblast,804021,Ukraine,UA,6,Ukrainian,0.998,Ukrainian,0.991,Russian,0.143,0.998,0.149,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.002,0.991,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.846,0.007,0.143,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,49960,24820,25140,0.991,0.992,0.990,Yes,Medium,
Perechyn raion,804021013,Zakarpatska oblast,804021,Ukraine,UA,8,Ukrainian,1.005,Ukrainian,0.975,Russian,0.276,1.005,0.287,0.000,0.005,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.002,0.001,0.002,0.000,0.023,0.975,0.011,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.005,0.664,0.030,0.276,0.000,0.000,0.000,0.002,0.001,0.008,0.002,0.000,0.018,33170,15880,17290,0.992,0.992,0.991,Yes,Medium,
Khust municipality,804021014,Zakarpatska oblast,804021,Ukraine,UA,9,Ukrainian,1.000,Ukrainian,0.915,Russian,0.298,1.000,0.331,0.000,0.002,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.001,0.002,0.009,0.003,0.013,0.915,0.033,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.044,0.005,0.002,0.554,0.085,0.298,0.000,0.000,0.000,0.001,0.002,0.037,0.009,0.003,0.011,31940,14670,17270,0.994,0.997,0.991,Yes,Medium,
Velykyy Bereznyi raion,804021015,Zakarpatska oblast,804021,Ukraine,UA,6,Ukrainian,0.999,Ukrainian,0.989,Russian,0.273,0.999,0.279,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.012,0.989,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.698,0.010,0.273,0.000,0.000,0.000,0.001,0.002,0.004,0.002,0.000,0.009,28120,13440,14680,0.989,0.992,0.985,Yes,Medium,
