admin2_name,admin2_pcode,admin1_name,admin1_pcode,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,main_first_language,main_first_language_share,main_second_language,main_second_language_share,Ukrainian,Russian,Belarusian,Romanian,Bulgarian,Hungarian,Azeri,Armenian,Georgian,Gagauz,Crimean Tatar,Tatar,Romani,German,Polish,English,French,Other,Ukrainian L1,Russian L1,Belarusian L1,Romanian L1,Azeri L1,Armenian L1,Georgian L1,Bulgarian L1,Gagauz L1,Crimean Tatar L1,Tatar L1,Hungarian L1,Romani L1,Other L1,None L2,Ukrainian L2,Russian L2,Belarussian L2,Romanian L2,Bulgarian L2,German L2,Polish L2,Hungarian L2,English L2,French L2,Other L2,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
#adm2+name,#adm2+code,#adm1+name,#adm1+code,#country+name,#country+code,#indicator+lang+num,#indicator+lang+main,#indicator+lang+main+pct,#indicator+first+lang+main,#indicator+first+lang+main+pct,#indicator+second+lang+main,#indicator+second+lang+main+pct,#indicator+lang+pct+iso639-3_ukr,#indicator+lang+pct+iso639-3_rus,#indicator+lang+pct+iso639-3_bel,#indicator+lang+pct+iso639-3_ron,#indicator+lang+pct+iso639-3_bul,#indicator+lang+pct+iso639-3_hun,#indicator+lang+pct+iso639-3_azj,#indicator+lang+pct+iso639-3_hyw,#indicator+lang+pct+iso639-3_kat,#indicator+ang+pct+iso639-3_gag,#indicator+lang+pct+iso639-3_crh,#indicator+lang+pct+iso639-3_tat,#indicator+lang+pct+iso639-3_ron,#indicator+lang+pct+iso639-3_deu,#indicator+lang+pct+iso639-3_pol,#indicator+lang+pct+iso639-3_eng,#indicator+lang+pct+iso639-3_fra,#indicator+lang+pct+iso639-3_unknown,#indicator+lang+pct+iso639-3_ukr,#indicator+first+lang+pct+iso639-3_rus,#indicator+first+lang+pct+iso639-3_bel,#indicator+first+lang+pct+iso639-3_ron,#indicator+first+lang+pct+iso639-3_azj,#indicator+first+lang+pct+iso639-3_hyw,#indicator+first+lang+pct+iso639-3_kat,#indicator+first+lang+pct+iso639-3_bul,#indicator+first+ang+pct+iso639-3_gag,#indicator+first+lang+pct+iso639-3_crh,#indicator+first+lang+pct+iso639-3_tat,#indicator+first+lang+pct+iso639-3_hun,#indicator+first+lang+pct+iso639-3_ron,#indicator+first+lang+pct+iso639-3_unknown,#indicator+second+lang+pct+none,#indicator+second+lang+pct+iso639-3_ukr,#indicator+second+lang+pct+iso639-3_rus,#indicator+second+lang+pct+iso639-3_bel,#indicator+second+lang+pct+iso639-3_ron,#indicator+second+lang+pct+iso639-3_bul,#indicator+second+lang+pct+iso639-3_deu,#indicator+second+lang+pct+iso639-3_pol,#indicator+second+lang+pct+iso639-3_hun,#indicator+second+lang+pct+iso639-3_eng,#indicator+second+lang+pct+iso639-3_fra,#indicator+second+lang+pct+iso639-3_unknown,#population+total,#population+m+total,#population+f+total,#population+total+pct+literate+age12up,#population+m+pct+literate+age12up,#population+f+pct+literate+age12up,#meta+data+bool,#meta+confidence,#meta+text
Drohobych raion,804046012,Lvivska oblast,804046,Ukraine,UA,6,Ukrainian,0.999,Ukrainian,0.994,Russian,0.085,0.999,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.006,0.004,0.001,0.003,0.994,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.896,0.005,0.085,0.000,0.000,0.000,0.002,0.006,0.000,0.004,0.001,0.002,76450,36590,39860,0.995,0.998,0.993,Yes,Medium,
Sambir raion,804046013,Lvivska oblast,804046,Ukraine,UA,6,Ukrainian,0.998,Ukrainian,0.980,Russian,0.109,0.998,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.014,0.007,0.001,0.015,0.980,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.846,0.019,0.109,0.000,0.000,0.000,0.003,0.014,0.000,0.007,0.001,0.001,75270,35780,39490,0.996,0.997,0.995,Yes,Medium,
Horodok raion,804046014,Lvivska oblast,804046,Ukraine,UA,7,Ukrainian,0.999,Ukrainian,0.991,Russian,0.108,0.999,0.114,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.023,0.010,0.000,0.004,0.991,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.847,0.008,0.108,0.001,0.000,0.000,0.002,0.023,0.000,0.010,0.000,0.001,74760,35550,39210,0.994,0.997,0.991,Yes,Medium,
Stryi raion,804046015,Lvivska oblast,804046,Ukraine,UA,8,Ukrainian,0.996,Ukrainian,0.988,Russian,0.127,0.996,0.136,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.011,0.009,0.000,0.002,0.988,0.009,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.837,0.008,0.127,0.001,0.000,0.000,0.005,0.011,0.000,0.009,0.000,0.002,70640,32980,37660,0.995,0.997,0.993,Yes,Medium,
Brody raion,804046016,Lvivska oblast,804046,Ukraine,UA,7,Ukrainian,0.998,Ukrainian,0.978,Russian,0.183,0.998,0.203,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.013,0.011,0.000,0.003,0.978,0.019,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.765,0.020,0.183,0.000,0.001,0.000,0.004,0.013,0.000,0.011,0.000,0.002,63800,30330,33470,0.994,0.998,0.991,Yes,Medium,
Stryi city,804046017,Lvivska oblast,804046,Ukraine,UA,10,Ukrainian,0.992,Ukrainian,0.949,Russian,0.262,0.992,0.306,0.003,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.006,0.022,0.015,0.002,0.009,0.949,0.044,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.642,0.043,0.262,0.000,0.000,0.000,0.006,0.022,0.001,0.015,0.002,0.007,63450,30520,32930,0.998,0.999,0.998,Yes,Medium,
Kamianka-Buzka raion,804046018,Lvivska oblast,804046,Ukraine,UA,8,Ukrainian,0.998,Ukrainian,0.988,Russian,0.099,0.998,0.108,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.013,0.009,0.000,0.001,0.988,0.009,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.867,0.010,0.099,0.000,0.000,0.000,0.002,0.013,0.000,0.009,0.000,0.000,63230,29670,33560,0.996,0.998,0.995,Yes,Medium,
Mostyska raion,804046019,Lvivska oblast,804046,Ukraine,UA,5,Ukrainian,0.995,Ukrainian,0.936,Russian,0.202,0.995,0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.046,0.010,0.000,0.062,0.936,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.061,0.678,0.060,0.202,0.000,0.000,0.000,0.003,0.046,0.000,0.010,0.000,0.001,61280,28710,32570,0.995,0.996,0.993,Yes,Medium,
Turka raion,804046020,Lvivska oblast,804046,Ukraine,UA,5,Ukrainian,1.000,Ukrainian,0.999,Russian,0.230,1.000,0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.005,0.002,0.000,0.001,0.999,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.760,0.001,0.230,0.000,0.000,0.000,0.002,0.005,0.000,0.002,0.000,0.001,55040,27070,27970,0.981,0.993,0.970,Yes,Medium,
Radekhiv raion,804046021,Lvivska oblast,804046,Ukraine,UA,6,Ukrainian,1.000,Ukrainian,0.996,Russian,0.071,1.000,0.075,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.006,0.003,0.000,0.002,0.996,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.911,0.004,0.071,0.000,0.000,0.000,0.003,0.006,0.000,0.003,0.000,0.001,53470,25180,28290,0.994,0.995,0.994,Yes,Medium,
